,Title,Year,Audience,Runtime,Rating,Earnings,Color,Genres,G_Action,G_Adventure,G_Animation,G_Biography,G_Comedy,G_Crime,G_Documentary,G_Drama,G_Family,G_Fantasy,G_History,G_Horror,G_Music,G_Musical,G_Mystery,G_Romance,G_SciFi,G_Thriller,G_War,G_Western
107,The Amazing Spider-Man,2012,PG-13,136,7,757930663,#722235,"['Action', 'Adventure', 'Sci-Fi']",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
108,The Hunger Games: Mockingjay - Part 1,2014,PG-13,123,6.6,755356711,#943a19,"['Action', 'Adventure', 'Sci-Fi']",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
109,Shrek Forever After,2010,PG,93,6.3,752600867,#92553d,"['Animation', 'Adventure', 'Comedy']",False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
110,Madagascar 3: Europe's Most Wanted,2012,PG,93,6.8,746921274,#1a7bb1,"['Animation', 'Adventure', 'Comedy']",False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
111,Suicide Squad,2016,PG-13,123,5.9,746846894,#acd2ac,"['Action', 'Adventure', 'Fantasy']",True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
112,X-Men: Days of Future Past,2014,PG-13,132,8,746045700,#e3b267,"['Action', 'Adventure', 'Sci-Fi']",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
113,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,PG,143,6.9,745013115,#906941,"['Adventure', 'Family', 'Fantasy']",False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
114,Monsters University,2013,G,104,7.3,743559645,#406893,"['Animation', 'Adventure', 'Comedy']",False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
115,The Matrix Reloaded,2003,R,138,7.2,741847937,#103637,"['Action', 'Sci-Fi']",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
116,Up,2009,PG,96,8.3,735099102,#3c80b9,"['Animation', 'Adventure', 'Comedy']",False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
117,Ne Zha,2019,Not Rated,110,7.4,726264074,#b08667,"['Animation', 'Action', 'Adventure']",True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
